Project,Date,Chinook Run,Chinook,Jack Chinook,Steelhead,Wild Steelhead,Sockeye,Coho,Jack Coho,Shad,Lamprey,Bull Trout,Chum,Pink,TempC
Willamette Falls,4/11/01,,112,,305,,,,,,,,,,8.9
Willamette Falls,4/12/01,,102,,278,,,,,,,,,,8.9
Willamette Falls,4/13/01,,88,1,217,,,,,,,,,,9.4
Willamette Falls,4/14/01,,163,2,343,,,,,,,,,,
Willamette Falls,4/15/01,,327,,393,,,,,,,,,,
Willamette Falls,4/16/01,,489,1,446,,,,,,,,,,9.4
Willamette Falls,4/17/01,,562,1,336,,,,,,,,,,10.6
Willamette Falls,4/18/01,,516,,414,,,,,,,,,,10.6
Willamette Falls,4/19/01,,667,6,379,,,,,,,,,,11.1
Willamette Falls,4/20/01,,815,2,283,,,,,,,,,,11.7
Willamette Falls,4/21/01,,1206,6,336,,,,,,,,,,
Willamette Falls,4/22/01,,1280,5,308,,,,,,,,,,
Willamette Falls,4/23/01,,911,4,325,,,,,,,,,,11.7
Willamette Falls,4/24/01,,759,7,355,,,,,,,,,,
Willamette Falls,4/25/01,,1203,6,412,,,,,,,,,,12.2
Willamette Falls,4/26/01,,1665,3,497,,,,,,,,,,13.3
Willamette Falls,4/27/01,,1943,8,420,,,,,,,,,,12.8
Willamette Falls,4/28/01,,1677,4,336,,,,,,,,,,
Willamette Falls,4/29/01,,1341,6,244,,,,,,,,,,
Willamette Falls,4/30/01,,933,22,265,,,,,,,,,,
Willamette Falls,5/1/01,,572,6,221,,,,,,,,,,12.2
Willamette Falls,5/2/01,,319,7,183,,,,,,,,,,11.7
Willamette Falls,5/3/01,,232,1,139,,,,,,,,,,11.1
Willamette Falls,5/4/01,,752,15,261,,,,,,,,,,11.7
Willamette Falls,5/5/01,,997,17,306,,,,,,,,,,
Willamette Falls,5/6/01,,875,17,223,,,,,,,,,,
Willamette Falls,5/7/01,,1014,26,262,,,,,,,,,,12.8
Willamette Falls,5/8/01,,1564,42,300,,,,,,,,,,13.3
Willamette Falls,5/9/01,,1129,55,450,,,,,,,,,,13.9
Willamette Falls,5/10/01,,1401,40,406,,,,,,,,,,
Willamette Falls,5/11/01,,1890,51,408,,,,,,,,,,15
Willamette Falls,5/12/01,,1196,29,382,,,,,,,,,,
Willamette Falls,5/13/01,,1085,41,357,,,,,,,,,,
Willamette Falls,5/14/01,,872,39,335,,,,,,,,,,16.1
Willamette Falls,5/15/01,,708,33,223,,,,,,,,,,15.6
Willamette Falls,5/16/01,,466,18,150,,,,,,,,,,14.4
Willamette Falls,5/17/01,,142,2,110,,,,,,,,,,13.3
Willamette Falls,5/18/01,,275,11,187,,,,,,,,,,
Willamette Falls,5/19/01,,252,8,166,,,,,,,,,,
Willamette Falls,5/20/01,,398,12,239,,,,,,,,,,13.3
Willamette Falls,5/21/01,,602,26,353,,,,,,,,,,14.4
Willamette Falls,5/22/01,,699,23,386,,,,,,,,,,15.6
Willamette Falls,5/23/01,,1245,43,398,,,,,,,,,,17.2
Willamette Falls,5/24/01,,1014,36,280,,,,,,,,,,17.8
Willamette Falls,5/25/01,,992,19,330,,,,,,,,,,18.9
Willamette Falls,5/26/01,,882,38,362,,,,,,,,,,
Willamette Falls,5/27/01,,819,15,405,,,,,,,,,,
Willamette Falls,5/28/01,,485,12,366,,,,,,,,,,
Willamette Falls,5/29/01,,439,21,292,,,,,,,,,,17.2
Willamette Falls,5/30/01,,384,18,332,,,,,,,,,,16.7
Willamette Falls,5/31/01,,391,15,341,,,,,,,,,,
Willamette Falls,6/1/01,,396,11,349,,,,,,,,,,16.1
Willamette Falls,6/2/01,,551,15,299,,,,,,,,,,
Willamette Falls,6/3/01,,491,18,317,,,,,,,,,,
Willamette Falls,6/4/01,,371,29,318,,,,,,,,,,16.1
Willamette Falls,6/5/01,,272,17,274,,,,,,,,,,15.6
Willamette Falls,6/6/01,,278,11,296,,,,,,,,,,15.6
Willamette Falls,6/7/01,,412,11,303,,,,,,,,,,
Willamette Falls,6/8/01,,561,13,316,,,,,,,,,,15.6
Willamette Falls,6/9/01,,627,29,283,,,,,,,,,,
Willamette Falls,6/10/01,,390,19,250,,,,,,,,,,
Willamette Falls,6/11/01,,232,10,243,,,,,,,,,,18.3
Willamette Falls,6/12/01,,194,8,195,,,,,,,,,,
Willamette Falls,6/13/01,,167,6,171,,,,,,,,,,17.8
Willamette Falls,6/14/01,,203,12,151,,,,,,,,,,16.7
Willamette Falls,6/15/01,,234,4,171,,,,,,,,,,16.7
Willamette Falls,6/16/01,,206,7,209,,,,,,,,,,
Willamette Falls,6/17/01,,334,9,239,,,,,,,,,,
Willamette Falls,6/18/01,,290,11,211,,,,,,,,,,17.2
Willamette Falls,6/19/01,,234,14,186,,,,,,,,,,17.8
Willamette Falls,6/20/01,,301,10,194,,,,,,,,,,18.3
Willamette Falls,6/21/01,,325,5,123,,,,,,,,,,
Willamette Falls,6/22/01,,343,13,170,,,,,,,,,,19.4
Willamette Falls,6/23/01,,265,6,132,,,,,,,,,,
Willamette Falls,6/24/01,,227,3,90,,,,,,,,,,20
Willamette Falls,6/25/01,,180,11,76,,,,,,,,,,20
Willamette Falls,6/26/01,,171,1,74,,,,,,,,,,20
Willamette Falls,6/27/01,,232,6,73,,,,,,,,,,19.4
Willamette Falls,6/28/01,,118,5,69,,,,,,,,,,18.9
Willamette Falls,6/29/01,,165,,80,,,,,,,,,,18.3
Willamette Falls,6/30/01,,163,13,96,,,,,,,,,,
Willamette Falls,7/1/01,,147,3,111,,,,,,,,,,
Willamette Falls,7/2/01,,141,7,105,,,,,,,,,,19.4
Willamette Falls,7/3/01,,209,15,123,,,,,,,,,,19.4
Willamette Falls,7/4/01,,205,16,173,,,,,,,,,,
Willamette Falls,7/5/01,,178,11,184,,,,,,,,,,20.6
Willamette Falls,7/6/01,,154,7,113,,,,,,,,,,20.6
Willamette Falls,7/7/01,,116,6,93,,,,,,,,,,
Willamette Falls,7/8/01,,80,10,51,,,,,,,,,,21.7
Willamette Falls,7/9/01,,55,3,43,,,,,,,,,,22.2
Willamette Falls,7/10/01,,40,4,21,,,,,,,,,,22.8
Willamette Falls,7/11/01,,43,,47,,,,,,,,,,
Willamette Falls,7/12/01,,45,6,36,,,,,,,,,,23.3
Willamette Falls,7/13/01,,28,4,28,,,,,,,,,,23.3
Willamette Falls,7/14/01,,22,3,23,,,,,,,,,,22.8
Willamette Falls,7/15/01,,21,2,21,,,,,,,,,,23.3
Willamette Falls,7/16/01,,15,2,16,,,,,,,,,,22.8
Willamette Falls,7/17/01,,14,1,19,,,,,,,,,,22.8
Willamette Falls,7/18/01,,32,,20,,,,,,,,,,
Willamette Falls,7/19/01,,34,,21,,,,,,,,,,21.7
Willamette Falls,7/20/01,,80,3,69,,,,,,,,,,21.7
Willamette Falls,7/21/01,,44,1,52,,,,,,,,,,
Willamette Falls,7/22/01,,103,4,61,,,,,,,,,,20.6
Willamette Falls,7/23/01,,70,11,84,,,,,,,,,,20.6
Willamette Falls,7/24/01,,76,8,89,,,,,,,,,,21.1
Willamette Falls,7/25/01,,79,2,92,,,,,,,,,,
Willamette Falls,7/26/01,,64,3,60,,,,,,,,,,21.7
Willamette Falls,7/27/01,,41,,71,,,,,,,,,,21.7
Willamette Falls,7/28/01,,60,5,39,,,,,,,,,,22.2
Willamette Falls,7/29/01,,35,,26,,,,,,,,,,
Willamette Falls,7/30/01,,29,2,17,,,,,,,,,,22.2
Willamette Falls,7/31/01,,21,2,13,,,,,,,,,,22.2
Willamette Falls,8/1/01,,23,1,19,,,,,,,,,,22.2
Willamette Falls,8/2/01,,18,2,16,,,,,,,,,,22.2
Willamette Falls,8/3/01,,28,1,31,,,,,,,,,,21.7
Willamette Falls,8/4/01,,33,,24,,,,,,,,,,21.1
Willamette Falls,8/5/01,,31,,26,,,,,,,,,,
Willamette Falls,8/6/01,,19,,15,,,,,,,,,,21.1
Willamette Falls,8/7/01,,17,1,23,,,,,,,,,,21.7
Willamette Falls,8/8/01,,24,,20,,,,,,,,,,
Willamette Falls,8/9/01,,29,2,23,,,,,,,,,,22.2
Willamette Falls,8/10/01,,12,3,19,,,,,,,,,,22.8
Willamette Falls,8/11/01,,16,1,6,,,,,,,,,,
Willamette Falls,8/12/01,,5,,2,,,,,,,,,,
Willamette Falls,8/13/01,,2,,4,,,,,,,,,,23.3
Willamette Falls,8/14/01,,2,,,,,,,,,,,,23.9
Willamette Falls,8/15/01,,1,,,,,,,,,,,,23.9
Willamette Falls,8/16/01,,3,,,,,,,,,,,,
Willamette Falls,8/17/01,,3,1,,,,,,,,,,,23.9
Willamette Falls,8/18/01,,3,,2,,,,,,,,,,
Willamette Falls,8/19/01,,4,,3,,,,,,,,,,
Willamette Falls,8/20/01,,4,,5,,,,,,,,,,22.8
Willamette Falls,8/21/01,,4,,6,,,,,,,,,,22.2
Willamette Falls,8/22/01,,4,1,10,,,1,,,,,,,21.7
Willamette Falls,8/23/01,,16,,26,,,2,1,,,,,,21.1
Willamette Falls,8/24/01,,12,,8,,,1,,,,,,,20.6
Willamette Falls,8/25/01,,20,,19,,,2,1,,,,,,
Willamette Falls,8/26/01,,31,,16,,,1,3,,,,,,
Willamette Falls,8/27/01,,27,,9,,,1,5,,,,,,20
Willamette Falls,8/28/01,,47,1,8,,,6,2,,,,,,20
Willamette Falls,8/29/01,,17,,3,,,3,,,,,,,20.6
Willamette Falls,8/30/01,,,,,,,1,1,,,,,,21.1
Willamette Falls,8/31/01,,72,1,5,,,7,2,,,,,,21.7
Willamette Falls,9/1/01,,80,,6,,,4,,,,,,,
Willamette Falls,9/2/01,,61,,7,,,13,,,,,,,21.7
Willamette Falls,9/3/01,,41,,7,,,1,3,,,,,,21.7
Willamette Falls,9/4/01,,49,,4,,,,1,,,,,,21.7
Willamette Falls,9/5/01,,45,,4,,,1,1,,,,,,21.7
Willamette Falls,9/6/01,,14,,1,,,1,4,,,,,,21.1
Willamette Falls,9/7/01,,27,,5,,,10,1,,,,,,20.6
Willamette Falls,9/8/01,,99,2,14,,,17,3,,,,,,20.6
Willamette Falls,9/9/01,,91,4,23,,,22,3,,,,,,20
Willamette Falls,9/10/01,,87,2,18,,,30,4,,,,,,20
Willamette Falls,9/11/01,,71,4,17,,,54,12,,,,,,19.4
Willamette Falls,9/12/01,,47,1,9,,,30,5,,,,,,19.4
Willamette Falls,9/13/01,,36,,2,,,34,6,,,,,,
Willamette Falls,9/14/01,,29,1,11,,,31,6,,,,,,19.4
Willamette Falls,9/15/01,,27,,6,,,31,1,,,,,,20
Willamette Falls,9/16/01,,21,,2,,,16,2,,,,,,
Willamette Falls,9/17/01,,23,,9,,,29,7,,,,,,20.6
Willamette Falls,9/18/01,,13,,6,,,32,9,,,,,,20.6
Willamette Falls,9/19/01,,34,,3,,,39,14,,,,,,20.6
Willamette Falls,9/20/01,,22,,3,,,62,4,,,,,,20
Willamette Falls,9/21/01,,6,,6,,,47,3,,,,,,20
Willamette Falls,9/22/01,,23,,2,,,42,5,,,,,,19.4
Willamette Falls,9/23/01,,28,1,7,,,70,10,,,,,,
Willamette Falls,9/24/01,,22,1,8,,,53,11,,,,,,18.9
Willamette Falls,9/25/01,,17,,3,,,22,5,,,,,,
Willamette Falls,9/26/01,,33,,11,,,39,6,,,,,,18.3
Willamette Falls,9/27/01,,20,,16,,,45,6,,,,,,18.3
Willamette Falls,9/28/01,,10,1,16,,,20,24,,,,,,18.3
Willamette Falls,9/29/01,,10,2,11,,,17,17,,,,,,17.8
Willamette Falls,9/30/01,,22,2,5,,,22,12,,,,,,
Willamette Falls,10/1/01,,7,,7,,,41,23,,,,,,17.2
Willamette Falls,10/2/01,,9,1,9,,,65,10,,,,,,
Willamette Falls,10/3/01,,7,,13,,,63,19,,,,,,16.7
Willamette Falls,10/4/01,,6,,12,,,57,18,,,,,,16.7
Willamette Falls,10/5/01,,4,,11,,,41,31,,,,,,16.7
Willamette Falls,10/6/01,,9,2,7,,,62,9,,,,,,
Willamette Falls,10/7/01,,2,,3,,,49,6,,,,,,17.2
Willamette Falls,10/8/01,,2,,2,,,26,,,,,,,
Willamette Falls,10/9/01,,2,,2,,,41,14,,,,,,
Willamette Falls,10/10/01,,3,,8,,,25,6,,,,,,16.7
Willamette Falls,10/11/01,,5,,8,,,46,7,,,,,,15.6
Willamette Falls,10/12/01,,1,,15,,,34,5,,,,,,15
Willamette Falls,10/13/01,,2,,10,,,33,2,,,,,,
Willamette Falls,10/14/01,,4,,10,,,30,4,,,,,,
Willamette Falls,10/15/01,,4,,5,,,29,2,,,,,,13.9
Willamette Falls,10/16/01,,1,,3,,,6,2,,,,,,13.9
Willamette Falls,10/17/01,,5,,9,,,11,7,,,,,,13.9
Willamette Falls,10/18/01,,1,,8,,,22,5,,,,,,13.9
Willamette Falls,10/19/01,,,,3,,,17,1,,,,,,13.9
Willamette Falls,10/20/01,,,,5,,,17,3,,,,,,
Willamette Falls,10/21/01,,,,5,,,11,1,,,,,,
Willamette Falls,10/22/01,,,,6,,,14,4,,,,,,13.3
Willamette Falls,10/23/01,,,,14,,,21,9,,,,,,12.8
Willamette Falls,10/24/01,,,,2,,,15,6,,,,,,12.8
Willamette Falls,10/25/01,,,,14,,,17,3,,,,,,12.2
Willamette Falls,10/26/01,,,,13,,,6,1,,,,,,12.2
Willamette Falls,10/27/01,,,,14,,,18,,,,,,,
Willamette Falls,10/28/01,,,,7,,,15,,,,,,,
Willamette Falls,10/29/01,,1,,4,,,5,,,,,,,11.7
Willamette Falls,10/30/01,,1,,7,,,8,,,,,,,11.7
Willamette Falls,10/31/01,,,,7,,,5,,,,,,,11.7
Willamette Falls,11/1/01,,,,4,,,5,,,,,,,11.1
Willamette Falls,11/2/01,,,,4,,,1,,,,,,,11.1
Willamette Falls,11/3/01,,,,3,,,7,2,,,,,,
Willamette Falls,11/4/01,,,,7,,,2,,,,,,,
Willamette Falls,11/5/01,,,,4,,,1,1,,,,,,11.7
Willamette Falls,11/6/01,,,,3,,,1,,,,,,,11.7
Willamette Falls,11/7/01,,,,6,,,1,,,,,,,11.7
Willamette Falls,11/8/01,,,,10,,,1,,,,,,,11.7
Willamette Falls,11/9/01,,,,13,,,1,,,,,,,11.1
Willamette Falls,11/10/01,,,,4,,,,,,,,,,
Willamette Falls,11/11/01,,,,,,,,,,,,,,
Willamette Falls,11/12/01,,,,,,,,,,,,,,
Willamette Falls,11/13/01,,,,1,,,,,,,,,,9.4
Willamette Falls,11/14/01,,,,2,,,6,,,,,,,
Willamette Falls,11/15/01,,,,12,,,1,,,,,,,10
Willamette Falls,11/16/01,,,,15,,,,,,,,,,
Willamette Falls,11/17/01,,,,27,,,,,,,,,,
Willamette Falls,11/18/01,,,,16,,,,,,,,,,
Willamette Falls,11/19/01,,,,9,,,,,,,,,,10.6
Willamette Falls,11/20/01,,,,10,,,,,,,,,,10
Willamette Falls,11/21/01,,,,5,,,,1,,,,,,10
Willamette Falls,11/22/01,,,,11,,,,,,,,,,
Willamette Falls,11/23/01,,,,7,,,,,,,,,,9.4
Willamette Falls,11/24/01,,,,1,,,,,,,,,,
Willamette Falls,11/25/01,,,,,,,,,,,,,,
Willamette Falls,11/26/01,,,,12,,,,,,,,,,8.9
Willamette Falls,11/27/01,,,,9,,,,,,,,,,8.3
Willamette Falls,11/28/01,,,,4,,,,,,,,,,7.8
Willamette Falls,11/29/01,,,,1,,,,,,,,,,
Willamette Falls,11/30/01,,,,5,,,,,,,,,,7.8
Willamette Falls,12/1/01,,,,6,,,,,,,,,,
Willamette Falls,12/2/01,,,,5,,,,,,,,,,
Willamette Falls,12/3/01,,,,6,,,,,,,,,,7.8
Willamette Falls,12/4/01,,,,6,,,,,,,,,,7.8
Willamette Falls,12/5/01,,,,3,,,,,,,,,,7.2
Willamette Falls,12/6/01,,,,,,,,,,,,,,7.2
Willamette Falls,12/7/01,,,,2,,,,,,,,,,7.2
Willamette Falls,12/8/01,,,,3,,,,,,,,,,
Willamette Falls,12/9/01,,,,9,,,,,,,,,,
Willamette Falls,12/10/01,,,,32,,,,,,,,,,7.2
Willamette Falls,12/11/01,,,,48,,,,,,,,,,7.2
Willamette Falls,12/12/01,,,,69,,,,,,,,,,
Willamette Falls,12/13/01,,,,72,,,,,,,,,,7.2
Willamette Falls,12/14/01,,,,33,,,,,,,,,,7.2
Willamette Falls,12/15/01,,,,9,,,,,,,,,,
Willamette Falls,12/16/01,,,,23,,,,,,,,,,
Willamette Falls,12/17/01,,,,29,,,,,,,,,,7.8
Willamette Falls,12/18/01,,,,18,,,,,,,,,,7.8
Willamette Falls,12/19/01,,,,17,,,,,,,,,,7.2
Willamette Falls,12/20/01,,,,10,,,,,,,,,,7.2
Willamette Falls,12/21/01,,,,30,,,,,,,,,,7.2
Willamette Falls,12/22/01,,,,83,,,,,,,,,,
Willamette Falls,12/23/01,,,,43,,,,,,,,,,6.7
Willamette Falls,12/24/01,,,,107,,,,,,,,,,
Willamette Falls,12/25/01,,,,68,,,,,,,,,,
Willamette Falls,12/26/01,,,,63,,,,,,,,,,5.6
Willamette Falls,12/27/01,,,,79,,,,,,,,,,5.6
Willamette Falls,12/28/01,,,,40,,,,,,,,,,5.6
Willamette Falls,12/29/01,,,,61,,,,,,,,,,
Willamette Falls,12/30/01,,,,91,,,,,,,,,,
Willamette Falls,12/31/01,,,,86,,,,,,,,,,6.1
Willamette Falls,1/1/02,,,,76,,,,,,,,,,
Willamette Falls,1/2/02,,,,167,,,,,,,,,,6.7
Willamette Falls,1/3/02,,,,210,,,,,,,,,,6.7
Willamette Falls,1/4/02,,,,146,,,,,,,,,,6.7
Willamette Falls,1/5/02,,,,119,,,,,,,,,,
Willamette Falls,1/6/02,,,,79,,,,,,,,,,
Willamette Falls,1/7/02,,,,167,,,,,,,,,,7.8
Willamette Falls,1/8/02,,,,57,,,,,,,,,,8.9
Willamette Falls,1/9/02,,,,43,,,,,,,,,,9.4
Willamette Falls,1/10/02,,,,43,,,,,,,,,,8.9
Willamette Falls,1/11/02,,,,48,,,,,,,,,,8.3
Willamette Falls,1/12/02,,,,78,,,,,,,,,,
Willamette Falls,1/13/02,,,,114,,,,,,,,,,
Willamette Falls,1/14/02,,,,111,,,,,,,,,,7.2
Willamette Falls,1/15/02,,,,51,,,,,,,,,,6.7
Willamette Falls,1/16/02,,,,36,,,,,,,,,,6.1
Willamette Falls,1/17/02,,,,18,,,,,,,,,,
Willamette Falls,1/18/02,,,,29,,,,,,,,,,5.6
Willamette Falls,1/19/02,,,,47,,,,,,,,,,
Willamette Falls,1/20/02,,,,67,,,,,,,,,,6.1
Willamette Falls,1/21/02,,,,68,,,,,,,,,,
Willamette Falls,1/22/02,,,,10,,,,,,,,,,6.1
Willamette Falls,1/23/02,,,,5,,,,,,,,,,5.6
Willamette Falls,1/24/02,,,,7,,,,,,,,,,5.6
Willamette Falls,1/25/02,,,,41,,,,,,,,,,6.1
Willamette Falls,1/26/02,,,,12,,,,,,,,,,
Willamette Falls,1/27/02,,,,4,,,,,,,,,,6.1
Willamette Falls,1/28/02,,,,3,,,,,,,,,,5.6
Willamette Falls,1/29/02,,,,1,,,,,,,,,,5
Willamette Falls,1/30/02,,,,11,,,,,,,,,,
Willamette Falls,1/31/02,,,,26,,,,,,,,,,5
Willamette Falls,2/1/02,,,,229,,,,,,,,,,5.6
Willamette Falls,2/2/02,,,,220,,,,,,,,,,
Willamette Falls,2/3/02,,,,306,,,,,,,,,,
Willamette Falls,2/4/02,,,,217,,,,,,,,,,6.1
Willamette Falls,2/5/02,,,,133,,,,,,,,,,6.1
Willamette Falls,2/6/02,,,,100,,,,,,,,,,6.1
Willamette Falls,2/7/02,,,,84,,,,,,,,,,6.1
Willamette Falls,2/8/02,,,,156,,,,,,,,,,6.1
Willamette Falls,2/9/02,,,,14,,,,,,,,,,
Willamette Falls,2/10/02,,,,28,,,,,,,,,,
Willamette Falls,2/11/02,,,,219,,,,,,,,,,6.1
Willamette Falls,2/12/02,,,,121,,,,,,,,,,6.1
Willamette Falls,2/13/02,,,,201,,,,,,,,,,6.1
Willamette Falls,2/14/02,,,,147,,,,,,,,,,
Willamette Falls,2/15/02,,,,127,,,,,,,,,,6.1
Willamette Falls,2/16/02,,,,138,,,,,,,,,,
Willamette Falls,2/17/02,,,,158,,,,,,,,,,
Willamette Falls,2/18/02,,,,186,,,,,,,,,,6.7
Willamette Falls,2/19/02,,,,280,,,,,,,,,,7.2
Willamette Falls,2/20/02,,,,312,,,,,,,,,,
Willamette Falls,2/21/02,,,,256,,,,,,,,,,8.3
Willamette Falls,2/22/02,,,,403,,,,,,,,,,
Willamette Falls,2/23/02,,,,474,,,,,,,,,,8.9
Willamette Falls,2/24/02,,,,340,,,,,,,,,,
Willamette Falls,2/25/02,,,,123,,,,,,,,,,8.9
Willamette Falls,2/26/02,,,,102,,,,,,,,,,7.8
Willamette Falls,2/27/02,,,,83,,,,,,,,,,
Willamette Falls,2/28/02,,,,78,,,,,,,,,,
Willamette Falls,3/1/02,,,,70,,,,,,,,,,
Willamette Falls,3/2/02,,,,48,,,,,,,,,,
Willamette Falls,3/3/02,,,,70,,,,,,,,,,
Willamette Falls,3/4/02,,,,48,,,,,,,,,,7.2
Willamette Falls,3/5/02,,,,50,,,,,,,,,,7.2
Willamette Falls,3/6/02,,,,64,,,,,,,,,,7.2
Willamette Falls,3/7/02,,,,189,,,,,,,,,,
